Grupo,Ciudad 1,Provincia-Ciudad1,Ciudad2
Zona Centro,Cordoba,Cordoba,Rosario
Zona Centro,Cordoba,Cordoba,Buenos Aires
Zona Centro,Villa Maria,Cordoba,Rio Cuarto
Zona Centro,Rosario,Santa Fe,Santa Fe
Zona Centro,Santa Fe,Santa Fe,Rafaela
Corredor Atlantico,Buenos Aires,Buenos Aires,Mar del Plata
Corredor Atlantico,Buenos Aires,Buenos Aires,Bahia Blanca
Corredor Atlantico,Mar del Plata,Buenos Aires,Tandil
Corredor Atlantico,Tandil,Buenos Aires,Olavarria
Cuyo Express,Mendoza,Mendoza,San Juan
Cuyo Express,Mendoza,Mendoza,San Luis
Cuyo Express,San Luis,San Luis,Rio Cuarto
Cuyo Express,San Rafael,Mendoza,Mendoza
Norte Conectado,San Miguel de Tucuman,Tucuman,Salta
Norte Conectado,Salta,Salta,San Salvador de Jujuy
Norte Conectado,San Miguel de Tucuman,Tucuman,Santiago del Estero
Norte Conectado,Cordoba,Cordoba,San Miguel de Tucuman
Litoral,Rosario,Santa Fe,Parana
Litoral,Parana,Entre Rios,Concordia
Litoral,Corrientes,Corrientes,Resistencia
Litoral,Resistencia,Chaco,Posadas
Litoral,Santa Fe,Santa Fe,Corrientes
